"x","y","Altitud"
-101.115832913584,21.0375001168856,2238
-101.182499579985,20.9800001171164,2370
-101.255832913026,21.0500001168354,2268
-101.154999580095,21.1241667832044,2349
-101.079166247064,21.0200001169558,2317
-101.195832913265,21.0966667833148,2369
-101.113332913594,21.1041667832846,2142
-101.120832913564,21.0233334502758,2379
-101.272499579626,21.0966667833148,2416
-101.224999579816,21.0233334502758,2240
-101.079166247064,21.0441667835255,2289
-101.160832913405,21.1583334497339,2362
-101.100832913644,21.0833334500349,2199
-101.148332913455,21.0858334500249,2250
-101.099999580314,21.0258334502657,2226
-101.209999579875,21.1100001165946,2530
-101.184166246645,21.0541667834853,2649
-101.224999579816,21.0566667834753,2504
-101.147499580125,20.9891667837462,2606
-101.206666246555,21.0450001168555,2341
-101.230832913126,21.0533334501553,2387
-101.202499579905,20.9883334504162,2437
-101.238332913096,21.0975001166447,2594
-101.170832913365,20.9925001170662,2406
-101.227499579806,21.0491667835054,2456
-101.128332913534,21.0583334501353,2287
-101.237499579766,21.0608334501252,2416
-101.265832912986,21.003333450356,2082
-101.124166246884,20.9933334503962,2409
-101.135832913504,20.9833334504363,2679
-101.274166246286,21.0850001166949,2406
-101.204166246565,21.0533334501553,2354
-101.147499580125,21.1458334497841,2303
-101.087499580364,21.0625001167852,2306
-101.145832913464,21.0016667836961,2628
-101.144166246804,21.1183334498945,2195
-101.149999580115,21.080000116715,2275
-101.182499579985,21.0691667834251,2724
-101.080832913724,21.003333450356,2304
-101.139166246824,20.9775001171264,2645
-101.155832913425,21.1691667830238,2288
-101.186666246635,21.1175001165645,2586
-101.227499579806,21.1166667832345,2652
-101.194999579935,21.1625001163838,2448
-101.270832912966,21.0966667833148,2435
-101.157499580085,21.1216667832144,2384
-101.192499579945,21.0650001167752,2510
-101.181666246655,21.1033334499547,2272
-101.212499579865,21.005833450346,2376
-101.109999580274,21.1608334497239,2161
-101.084166247044,21.1291667831843,2057
-101.107499580284,21.0325001169056,2272
-101.111666246934,20.9808334504463,2424
-101.148332913455,21.1716667830137,2198
-101.122499580224,21.080833450045,2247
-101.249166246386,21.0000001170361,2161
-101.220832913166,21.1391667831442,2811
-101.180832913325,21.0241667836058,2662
-101.262499579666,21.0700001167551,2322
-101.205832913225,21.1108334499246,2510
-101.224999579816,21.0366667835556,2411
-101.237499579766,21.0741667834051,2483
-101.176666246675,21.1658334497038,2379
-101.131666246854,21.0366667835556,2358
-101.179166246665,21.1275001165243,2334
-101.182499579985,21.1408334498041,2326
-101.207499579885,21.0533334501553,2375
-101.272499579626,20.9991667837061,2008
-101.159999580075,21.1250001165344,2286
-101.180832913325,21.0208334502858,2549
-101.264166246326,20.9991667837061,2090
-101.179999579995,20.9925001170662,2306
-101.158332913415,21.002500117026,2463
-101.259999579676,21.1341667831642,2516
-101.118332913574,21.0508334501654,2286
-101.199166246585,21.0358334502256,2487
-101.187499579965,21.0866667833549,2644
-101.234166246446,20.9916667837362,2337
-101.246666246396,21.1058334499446,2651
-101.265832912986,21.0141667836459,2002
-101.220832913166,20.9791667837864,2456
-101.116666246914,21.0858334500249,2169
-101.080832913724,21.1691667830238,2083
-101.176666246675,21.0591667834653,2595
-101.096666246994,21.0258334502657,2222
-101.197499579925,21.0166667836359,2340
-101.230832913126,21.0175001169658,2184
-101.214999579855,20.9875001170863,2261
-101.113332913594,21.0741667834051,2191
-101.215832913186,21.0366667835556,2294
-101.206666246555,21.0750001167351,2515
-101.148332913455,21.1741667830037,2234
-101.229166246466,21.1758334496637,2695
-101.147499580125,21.0475001168454,2584
-101.089166247024,21.1766667829937,2144
-101.219999579836,21.0675001167652,2467
-101.247499579726,21.1458334497841,2680
-101.118332913574,21.1050001166146,2194
-101.215832913186,21.1091667832646,2604
-101.112499580264,21.1333334498342,2150
-101.171666246695,21.1291667831843,2312
-101.115832913584,21.1558334497439,2222
-101.274999579616,21.079166783385,2341
-101.096666246994,21.150833449764,2103
-101.097499580324,21.0341667835656,2204
-101.249166246386,21.1358334498242,2709
-101.133332913514,21.1066667832746,2177
-101.118332913574,21.1183334498945,2288
-101.234999579776,21.0000001170361,2234
-101.232499579786,21.1416667831341,2673
-101.088332913694,21.1116667832545,2226
-101.098332913654,21.1050001166146,2102
-101.145832913464,21.0966667833148,2252
-101.256666246356,21.1466667831141,2733
-101.269999579636,21.152500116424,2753
-101.127499580204,21.0383334502156,2297
-101.263332912996,21.1475001164441,2702
-101.182499579985,21.152500116424,2544
-101.164999580055,21.1033334499547,2447
-101.118332913574,21.0375001168856,2263
-101.197499579925,21.0250001169357,2405
-101.105832913624,21.081666783375,2190
-101.265832912986,21.1458334497841,2781
-101.255832913026,21.0458334501855,2286
-101.142499580144,20.9916667837362,2712
-101.223332913156,21.075833450065,2593
-101.177499580005,21.1566667830739,2506
-101.130832913524,21.078333450055,2219
-101.162499580065,20.9791667837864,2388
-101.088332913694,21.1741667830037,2122
-101.162499580065,21.007500117006,2438
-101.271666246296,21.1350001164942,2503
-101.126666246874,21.1658334497038,2115
-101.093332913674,21.1041667832846,2187
-101.183332913315,21.1141667832445,2500
-101.219166246506,21.0616667834552,2624
-101.142499580144,20.9850001170963,2621
-101.108332913614,21.007500117006,2341
-101.229999579796,21.1575001164039,2716
-101.149999580115,21.0483334501754,2541
-101.256666246356,21.0283334502557,2106
-101.245832913066,21.0825001167049,2427
-101.194166246605,21.079166783385,2625
-101.148332913455,20.9816667837763,2441
-101.264166246326,21.1691667830238,2536
-101.154166246765,21.0550001168153,2623
-101.214999579855,21.1633334497138,2618
-101.139166246824,21.0591667834653,2338
-101.149166246785,21.0675001167652,2446
-101.166666246715,20.9975001170461,2545
-101.214166246525,20.9925001170662,2304
-101.254166246366,21.1000001166347,2607
-101.191666246615,21.0250001169357,2425
-101.116666246914,21.1558334497439,2222
-101.261666246336,21.153333449754,2620
-101.263332912996,21.0866667833549,2430
-101.265832912986,21.0375001168856,2129
-101.164999580055,21.1025001166247,2439
-101.248332913056,21.1241667832044,2517
-101.224999579816,21.1258334498644,2849
-101.081666247054,21.1450001164541,2030
-101.212499579865,21.0516667834954,2421
-101.250832913046,21.1158334499045,2552
-101.241666246416,20.9841667837663,2317
-101.262499579666,20.9983334503761,2117
-101.173332913355,21.0533334501553,2700
-101.175832913345,21.0166667836359,2510
-101.194999579935,21.0108334503259,2339
-101.199166246585,20.9916667837362,2410
-101.153332913435,20.9791667837864,2531
-101.181666246655,21.0350001168956,2649
-101.135832913504,21.1075001166046,2243
-101.264166246326,21.1058334499446,2518
-101.157499580085,21.080000116715,2307
-101.269999579636,21.1625001163838,2677
-101.084999580374,21.0441667835255,2272
-101.203332913235,21.1175001165645,2537
-101.111666246934,21.009166783666,2380
-101.119999580234,21.1308334498443,2182
-101.106666246954,21.0841667833649,2203
-101.123332913554,21.1325001165043,2288
-101.163332913395,21.1700001163537,2389
-101.254999579696,21.0133334503159,2104
-101.169166246705,21.1391667831442,2317
-101.157499580085,21.1550001164139,2285
-101.084166247044,21.150833449764,2084
-101.140832913484,20.9975001170461,2668
-101.238332913096,21.081666783375,2403
-101.166666246715,20.9908334504062,2489
-101.187499579965,20.9991667837061,2314
-101.246666246396,21.1241667832044,2561
-101.262499579666,21.1125001165845,2493
-101.188332913295,21.1366667831542,2426
-101.137499580164,21.1400001164742,2269
-101.264166246326,20.9916667837362,2037
-101.170832913365,21.0300001169157,2811
-101.196666246595,21.0191667836258,2380
-101.109999580274,21.0858334500249,2169
-101.269999579636,21.0850001166949,2351
-101.148332913455,21.0300001169157,2513
-101.273332912956,21.0850001166949,2385
-101.189166246625,21.1208334498844,2552
-101.082499580384,21.0991667833047,2329
-101.165832913385,21.0916667833348,2547
-101.198332913255,21.1475001164441,2394
-101.136666246834,21.0191667836258,2386
-101.199166246585,21.081666783375,2510
-101.244999579736,21.1675001163638,2474
-101.272499579626,21.0258334502657,2075
-101.153332913435,21.1008334499647,2226
-101.169999580035,21.1033334499547,2421
-101.163332913395,21.0233334502758,2489
-101.112499580264,21.0483334501754,2308
-101.140832913484,20.9916667837362,2697
-101.182499579985,21.1016667832947,2304
-101.130832913524,21.009166783666,2595
-101.208332913215,20.9816667837763,2315
-101.209166246545,21.0300001169157,2483
